case_type,issue_type,support_segment,zendesk_tier,channel,sales_territory,billing_region,zendesk_tickets,fin_only_resolved,support_contacts
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),NORAM,UK,11,0,11
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Northern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Singapore/ANZ,APAC,5,0,5
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Southern Europe,EEA,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),UAE,MENA,27,0,27
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),UK,EEA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),UK,UK,15,0,15
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Unknown,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Unknown,NORAM,27,0,27
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Unknown,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),WW,EEA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),WW,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),WW,Mauritius,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),Central Europe,EEA,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),GCR,APAC,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),KSA,MENA,0,2,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),NORAM,Crypto,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),NORAM,NORAM,2,1,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),NORAM,UK,0,1,1
