case_type,issue_type,support_segment,zendesk_tier,channel,sales_territory,billing_region,zendesk_tickets,fin_only_resolved,support_contacts
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),KSA,MENA,0,2,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),NORAM,Crypto,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),NORAM,NORAM,2,1,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),NORAM,UK,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),Northern Europe,EEA,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),Southern Europe,EEA,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),UAE,MENA,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),UK,UK,1,1,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),WW,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Other,Central Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Other,Crypto,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Other,Crypto,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Other,GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Other,KSA,Unknown,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Other,UAE,MENA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Other,UK,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Webform & API,Crypto,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Webform & API,Crypto,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Webform & API,Issuing,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Webform & API,NORAM,Crypto,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Webform & API,NORAM,NORAM,7,0,7
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Webform & API,Southern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Webform & API,UAE,MENA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Webform & API,UK,UK,7,0,7
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Webform & API,Unknown,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Webform & API,WW,EEA,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Email (Internal),Central Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Email (Internal),GCR,APAC,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Email (Internal),UAE,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Email (Internal),Unknown,EEA,2,0,2
