endpoint,field_name,field_location,field_type,required,description
POST /api/user-entitlements/bulk,request body,body,CreateUserEntitlements,false,Array of user entitlements
PUT /api/user-onboarding/clients/{clientId}/entities/{entityId}/appliers,clientId,path,string,true,
PUT /api/user-onboarding/clients/{clientId}/entities/{entityId}/appliers,entityId,path,string,true,
PUT /api/user-onboarding/clients/{clientId}/entities/{entityId}/appliers,request body,body,UpsertOnboardingUserRequest,false,
PUT /api/user-onboarding/clients/{clientId}/entities/{entityId}/owner,clientId,path,string,true,
PUT /api/user-onboarding/clients/{clientId}/entities/{entityId}/owner,entityId,path,string,true,
PUT /api/user-onboarding/clients/{clientId}/entities/{entityId}/owner,request body,body,UpsertOnboardingUserRequest,false,
PUT /api/user-onboarding/sub-entities/{subentityId}/appliers,subentityId,path,string,true,
PUT /api/user-onboarding/sub-entities/{subentityId}/appliers,request body,body,UpsertOnboardingUserRequest,false,
GET /umt/users/self,,,,,
PUT /umt/users/{userId},userId,path,string,true,
PUT /umt/users/{userId},request body,body,UpdateUserRequest,false,
PUT /umt/users/{userId}/password,userId,path,string,true,
PUT /umt/users/{userId}/password,request body,body,ChangePasswordRequest,false,
POST /umt/users/{userId}/activate,userId,path,string,true,
POST /umt/users/{userId}/unlock,userId,path,string,true,
POST /umt/users/{userId}/suspend,userId,path,string,true,
POST /umt/users/{userId}/unsuspend,userId,path,string,true,
